Element ID;Cost;Flamability;Classification of Flammability;Count;Auto-ignition Temperature;Weight;Description;Diameter;Family;Family and Type;Finish;Internal Current;Voltage;W;Waste Connection NPT;Width;URL
211850;;;;1;;;Vault(TM) offset kitchen sink with four-hole faucet drilling;;Sink-Offset-Kohler-Vault-3823_4;Sink-Offset-Kohler-Vault-3823_4: Steel-Stainless-NA;;Steel-Kohler-NA-Stainless;;;;559;http://www.us.kohler.com/index.jsp
213811;0.1 L/s;;;1;;;Purist(R) kitchen sink faucet with 8 inch spout reach;;Faucet-8inch_Reach-Kohler-Purist-7507;Faucet-8inch_Reach-Kohler-Purist-7507: Chrome-Polished_Chrome-CP;;Chrome-Kohler-CP-Polished_Chrome;;;;116;http://www.us.kohler.com
414482;;;;1;;;;;M_Concrete-Round-Column with Drop Caps;M_Concrete-Round-Column with Drop Caps: M_1000;;;;;;;
418977;;;;1;;;;;M_Wind Power Generator;M_Wind Power Generator: 9 Meters High;;;;;;;
418985;;;;1;;;;;M_Wind Power Generator;M_Wind Power Generator: 9 Meters High;;;;;;;
420270;;;;1;;;Cast Iron Bathtub;;Bathtub-TOTO-Nexus-FBF794S;Bathtub-TOTO-Nexus-FBF794S: 01 Cotton;Metal - TOTO - Enameled - 01 Cotton;;;;76 mm;;http://www.totousa.com
422466;;;;1;;;;;Single-Flush;Single-Flush: 800 x 2100;;;;;;;
423100;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
423107;;;;1;;;;;Entrance door;Entrance door: Entrance door;;;;;;;
424758;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
424759;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
425292;;;;1;;;;;Single-Flush;Single-Flush: 800 x 2100;;;;;;;
430997;;;;1;;;;;Single-Flush;Single-Flush: 800 x 2100;;;;;;;
431064;;;;1;;;;;Single-Flush;Single-Flush: 800 x 2100;;;;;;;
431144;;;;1;;;;;Single-Flush;Single-Flush: 800 x 2100;;;;;;;
431198;;;;1;;;;;Single-Flush;Single-Flush: 800 x 2100;;;;;;;
457479;;;;1;;;Single Window Unit - Triple Glazed;;Single Window;Single Window: Standard;;;;;;;
457534;;;;1;;;Single Window Unit - Triple Glazed;;Single Window;Single Window: Standard;;;;;;;
457542;;;;1;;;Single Window Unit - Triple Glazed;;Single Window;Single Window: Standard;;;;;;;
485432;;;;1;;;Single Window Unit - Triple Glazed;;Single Window;Single Window: Standard;;;;;;;
485452;;;;1;;;;;Curtain Wall Dbl Glass;Curtain Wall Dbl Glass: Curtain Wall Dbl Glass;;;;;;;
485460;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
485462;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
485464;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
485466;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
485467;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
485468;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
485469;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
485679;;;;1;;;;;Single-Flush;Single-Flush: 800 x 2100;;;;;;;
488881;;;;1;;;;;M_Skylight;M_Skylight: 1180 x 1170mm;;;;;;;
